Inspections Per Risk Category






SOLUTION:

SELECT
    IFNULL(risk_category, 'No Risk') risk_cat,
    COUNT(1) total
FROM sf_restaurant_health_violations
GROUP BY risk_cat
ORDER BY 2 DESC






DB:

sf_restaurant_health_violations
business_id		int
business_name		varchar
business_address	varchar
business_city		varchar
business_state		varchar
business_postal_code	float
business_latitude	float
business_longitude	float
business_location	varchar
business_phone_number	float
inspection_id		varchar
inspection_date		datetime
inspection_score	float
inspection_type		varchar
violation_id		varchar
violation_description	varchar
risk_category		varchar
